Název	Cena 	Četnost plateb	Kategorie	Popis	Vedoucí
Papírový modelář 	360	pololetí	Technické	Stavba papírových modelů pro začínající modeláře, vhodné pro děti od 8 let v DDM každé úterý od 14 do 15 hodin. 	 Jaroslav Holek
Plastikový modelář 	360	pololetí	Technické	Stavba modelů, diorámat, vhodné pro děti od 9 let v DDM každé úterý od 15 do 16,30 hodin. 	 Jaroslav Holek
Plaváček 	950	kurz 	Sportovně - pohybové	2 měsíční kurz plavání s individuálním přístupem – 8x krytý bazén Boskovice. V ceně doprava, vstupy, pojištění, plavecký výcvik. Pro maximálně 8 dětí od 5 let. Získání plaveckých dovedností, hrátky ve vodě. Od října první skupina v úterý, druhá ve středu vždy od 14,30 do 17 hodin 1x za 14 dní. 	 Zuzana Musilová, Lucie Procházková
Programování 12+ 	350	pololetí	Technické	Základy programování v jazyce Python. Naprogramuj si  vlastní hru. Pro děti od 12 let.V úterý od 16 do 17 hodin. 	 Jakub Dorňák
Raketový modelář 	360	pololetí	Technické	Stavba modelů raket a maket, soutěže, pro děti od 9 let v DDM každý pátek od 14,30 do 16 hodin. 	 Jiří Kašpar 
Robotický	360	pololetí	Technické	Stavba modelu robota z Lega, programování pohybu robota, práce na PC, kroužek v rámci podpory vědy dětí a mládeže ve spolupráci s Jihomoravským centrem pro mezinárodní mobilitu. Pro děti od 10 do 16 let v DDM každé úterý od 17 do 18 hodin. 	 Jakub Dorňák
Rugbyový 	360	pololetí	Sportovně - pohybové	Netradiční, ale velmi zajímavý sport. Pohybová průprava, pohybové hry, obratnost, postřeh. Pravidla rugby, základy hry, cvičení a nácvik (rozehrávky, vhazování, výkop, přihrávka, mlýn, ....). Ideální sport k vybití energie v rámci pravidel, vhodné nejenom pro živé a aktivní děti ve věku od 5 do 10  let. Chytne vás to! Ve čtvrtek  od 16 do 17,30 hodin.	  Aleš Kubík st.
Rybář	350	pololetí	Sportovně - pohybové	Teorie, řád, povolenka k lovu, vhodné pro děti od 7 let. 	 v jednání, doufáme, že kroužek bude
Sportík 	380	pololetí	Sportovně - pohybové	Netradiční pohybové aktivity pro kluky a holky za použití běžných i méně běžných pomůcek. Rozvíjení koordinace, obratnosti, prostorové orientace, spolupráce dětí. Vyzkoušíme si ringo, baseball, trampolíny,… Pro děti od 6 do 11 let. Od října vždy ve čtvrtek od 15 do 16 hodin v tělocvičně ZŠ Komenského Letovice. 	  Lucie Procházková
Stolní tenis A, B 	420	pololetí	Sportovně - pohybové	Zdokonalování techniky, strategie, soutěže, činnost do konce dubna 2015. Informace a první trénink v úterý 23. 9. 2013 od 16 hodin v tělocvičně ZŠ Tyršova. New ROBOPONG. Tréninky v úterý a pátek. 	 Alois Pelíšek
Stolní tenis přípravka 	370	pololetí	Sportovně - pohybové	Základy herní techniky, pravidla, soutěže. Pro děti od 7 let. Ukončení činnosti duben 2015. Informace a první trénink v úterý 23. 9. 2013 14,30 hodin v tělocvičně bývalé ZŠ Tyršova. Tréninky v úterý a pátek. 	 Alois Pelíšek, Vojtěch Zachoval
Šídla pro starší a pokročilé	350	pololetí	Ostatní	Chcete nahlédnout přírodě pod pokličku? Vyzkoušet si na vlastní ruce i hlavu některé principy vědecké práce? A co třeba chov netradičních "mazlíčků" - mraveniště pod sklem anebo žížalárium? A zkusili jste si někdy vychovat z housenky motýla? Zajímají Vás přírodní zvláštnosti ve Vašem okolí? Jestli jste odpověděli alespoň jednou ANO, těšíme se na Vás v přírodovědném kroužku Šídla pro starší a pokročilé vždy ve středu od 15 do 16.30 hodin. 	 Jarmila Skudová
Taneční 	350	pololetí	Sportovně - pohybové	Základy country a společenských tanců.  Pro děti od 10 let.Ve čtvrtek od 16 do 17 hodin. 	 Jakub Dorňák
Točení na kruhu pro děti pátek 	550	pololetí	Tvořivé	Modelování, glazování, práce na kruhu, točení i obtáčení s profesionální keramičkou. Schůzky v pátek v DDM od 15,30 do 17 hodin. Kapacita: 6 dětí	 Zdeňka Štrajtová
Točení na kruhu pro děti úterý 	550	pololetí	Tvořivé	Od návrhu přes technický výkres po finální výrobek. Točení, obtáčení, glazování máčením i štětcem, výroba sádrových forem. S  profesionální keramičkou. Schůzky v úterý v DDM od 15 do 16,30 hodin. Kapacita: 6 dětí 	 Zuzana Holíková
Tvořílek	360	pololetí	Tvořivé	Tvoření a vyrábění – vyzkoušíme si malbu, kresbu, modelování. Práce s nejrůznějšími materiály (papír, keramická hlína, vlna, textil, odpadový materiál, přírodniny, aj..). Pro děti od 5 do 9 let. 	 Daniela Klusáková
Výtvarné hry	390	pololetí	Tvořivé	V tomto kroužku si vyzkoušíte množství výtvarných technik a materiálů, o kterých jste možná ani nevěděli, že se dají výtvarně využít. Kromě toho, že budeme i malovat a kreslit, budeme tvořit plastiky z odpadních materiálů, vytvářet objekty v přírodě, malovat na tělo, zkusit tesat do kamene, vytvářet koláže, frotáže a tisky…  Fantazii se meze nekladou! Pro děti od 8 let. Schůzky vždy v úterý od 16 do 17,30 hodin v DDM. 	 Andrea Bakalová
Workout - Seberevolta Letovice 	360	pololetí	Sportovně - pohybové	Originální systém posilování s vlastním tělem s využitím kovových konstrukcí – hrazda, průlezky, zábradlí, sušáky na prádlo, aj… , Díky cvičení zvýšíte svou fyzickou kondici, silové schopnosti a flexibilitu. Cvičit může každý! Tréninky ve čtvrtek v DDM od 17 do  18 hodin. Pro děti a mládež od 10 let. 	 Aleš Kubík
Železniční modelář 	360	pololetí	Technické	Stavba kolejiště, základy řízení provozu, pro děti od 9 let. V DDM každou středu od 14,30 do 16 hodin. 	 František Bačovský
